getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 0.424200057983 seconds
getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 0.407733201981 seconds
input_IMDB_W2V:: words, dim  89567 300
input_IMDB_W2V::cost 14.7382948399 seconds
input_IMDB_W2V::embdding 17106
train: 900  valid: 100  test: 1000
Warning -- This is embedding_initializer function
weigth decay for  model/hidden_to_out_weight:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/candidate/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/candidate/weights:0
Warning -- This is embedding_initializer function
Build graph done!
EP 1, MB 1, lr 0.0001, MB Loss= 0.7998
EP 41, MB 6, lr 0.0001, MB Loss= 0.5308
EP 41, MB 7, lr 0.0001, MB Loss= 0.4108
EP 41, MB 8, lr 0.0001, MB Loss= 0.3033
EP 41, MB 9, lr 0.0001, MB Loss= 0.7075
Train Loss:  0.4926 Test Loss:  0.6300 Train Accuracy:  0.7356 Test Accuracy:  0.6780


EP 42, MB 1, lr 0.0001, MB Loss= 0.7680
EP 42, MB 2, lr 0.0001, MB Loss= 0.4421
EP 42, MB 3, lr 0.0001, MB Loss= 0.4466
EP 42, MB 4, lr 0.0001, MB Loss= 0.7408
EP 42, MB 5, lr 0.0001, MB Loss= 0.6175
EP 42, MB 6, lr 0.0001, MB Loss= 0.3996
EP 42, MB 7, lr 0.0001, MB Loss= 0.5123
EP 42, MB 8, lr 0.0001, MB Loss= 0.5668
EP 42, MB 9, lr 0.0001, MB Loss= 0.4860
Train Loss:  0.4836 Test Loss:  0.5611 Train Accuracy:  0.8833 Test Accuracy:  0.7650


EP 43, MB 1, lr 0.0001, MB Loss= 0.4690
EP 43, MB 2, lr 0.0001, MB Loss= 0.5180
EP 43, MB 3, lr 0.0001, MB Loss= 0.4875
EP 43, MB 4, lr 0.0001, MB Loss= 0.3754
EP 43, MB 5, lr 0.0001, MB Loss= 0.4440
EP 43, MB 6, lr 0.0001, MB Loss= 0.3614
EP 43, MB 7, lr 0.0001, MB Loss= 0.4603
EP 43, MB 8, lr 0.0001, MB Loss= 0.4097
EP 43, MB 9, lr 0.0001, MB Loss= 0.3926
Train Loss:  0.3981 Test Loss:  0.5136 Train Accuracy:  0.8878 Test Accuracy:  0.7700


EP 44, MB 1, lr 0.0001, MB Loss= 0.3575
EP 44, MB 2, lr 0.0001, MB Loss= 0.4619
EP 44, MB 3, lr 0.0001, MB Loss= 0.3776
EP 44, MB 4, lr 0.0001, MB Loss= 0.3446
EP 44, MB 5, lr 0.0001, MB Loss= 0.4985
EP 44, MB 6, lr 0.0001, MB Loss= 0.4099
EP 44, MB 7, lr 0.0001, MB Loss= 0.4267
EP 44, MB 8, lr 0.0001, MB Loss= 0.3779
EP 44, MB 9, lr 0.0001, MB Loss= 0.4534
Train Loss:  0.4096 Test Loss:  0.5315 Train Accuracy:  0.8356 Test Accuracy:  0.7400


EP 45, MB 1, lr 0.0001, MB Loss= 0.4952
EP 45, MB 2, lr 0.0001, MB Loss= 0.4055
EP 45, MB 3, lr 0.0001, MB Loss= 0.4685
EP 45, MB 4, lr 0.0001, MB Loss= 0.4247
EP 45, MB 5, lr 0.0001, MB Loss= 0.3396
EP 45, MB 6, lr 0.0001, MB Loss= 0.4573
EP 45, MB 7, lr 0.0001, MB Loss= 0.4109
EP 45, MB 8, lr 0.0001, MB Loss= 0.5386
EP 45, MB 9, lr 0.0001, MB Loss= 0.4895
Train Loss:  0.3393 Test Loss:  0.5044 Train Accuracy:  0.8689 Test Accuracy:  0.7570


EP 46, MB 1, lr 0.0001, MB Loss= 0.4545
EP 46, MB 2, lr 0.0001, MB Loss= 0.4854
EP 46, MB 3, lr 0.0001, MB Loss= 0.3256
EP 46, MB 4, lr 0.0001, MB Loss= 0.3606
EP 46, MB 5, lr 0.0001, MB Loss= 0.3814
EP 46, MB 6, lr 0.0001, MB Loss= 0.3217
EP 46, MB 7, lr 0.0001, MB Loss= 0.4460
EP 46, MB 8, lr 0.0001, MB Loss= 0.4007
EP 46, MB 9, lr 0.0001, MB Loss= 0.4024
Train Loss:  0.3994 Test Loss:  0.5128 Train Accuracy:  0.8822 Test Accuracy:  0.7750


EP 47, MB 1, lr 0.0001, MB Loss= 0.4415
EP 47, MB 2, lr 0.0001, MB Loss= 0.3604
EP 47, MB 3, lr 0.0001, MB Loss= 0.3854
EP 47, MB 4, lr 0.0001, MB Loss= 0.4128
EP 47, MB 5, lr 0.0001, MB Loss= 0.3387
EP 47, MB 6, lr 0.0001, MB Loss= 0.3373
EP 47, MB 7, lr 0.0001, MB Loss= 0.4139
EP 47, MB 8, lr 0.0001, MB Loss= 0.3665
EP 47, MB 9, lr 0.0001, MB Loss= 0.3499
Train Loss:  0.3626 Test Loss:  0.5030 Train Accuracy:  0.8767 Test Accuracy:  0.7610


EP 48, MB 1, lr 0.0001, MB Loss= 0.3376
EP 48, MB 2, lr 0.0001, MB Loss= 0.3741
EP 48, MB 3, lr 0.0001, MB Loss= 0.4709
EP 48, MB 4, lr 0.0001, MB Loss= 0.3897
EP 48, MB 5, lr 0.0001, MB Loss= 0.3790
EP 48, MB 6, lr 0.0001, MB Loss= 0.3276
EP 48, MB 7, lr 0.0001, MB Loss= 0.5449
EP 48, MB 8, lr 0.0001, MB Loss= 0.3938
EP 48, MB 9, lr 0.0001, MB Loss= 0.3349
Train Loss:  0.4189 Test Loss:  0.5706 Train Accuracy:  0.7822 Test Accuracy:  0.7130


EP 49, MB 1, lr 0.0001, MB Loss= 0.4472
EP 49, MB 2, lr 0.0001, MB Loss= 0.6310
EP 49, MB 3, lr 0.0001, MB Loss= 0.3897
EP 49, MB 4, lr 0.0001, MB Loss= 0.5173
EP 49, MB 5, lr 0.0001, MB Loss= 0.6075
EP 49, MB 6, lr 0.0001, MB Loss= 0.4830
EP 49, MB 7, lr 0.0001, MB Loss= 0.3634
EP 49, MB 8, lr 0.0001, MB Loss= 0.4034
EP 49, MB 9, lr 0.0001, MB Loss= 0.3891
Train Loss:  0.4315 Test Loss:  0.5418 Train Accuracy:  0.8356 Test Accuracy:  0.7230


EP 50, MB 1, lr 0.0001, MB Loss= 0.4658
EP 50, MB 2, lr 0.0001, MB Loss= 0.4749
EP 50, MB 3, lr 0.0001, MB Loss= 0.4672
EP 50, MB 4, lr 0.0001, MB Loss= 0.4093
EP 50, MB 5, lr 0.0001, MB Loss= 0.3345
EP 50, MB 6, lr 0.0001, MB Loss= 0.4572
EP 50, MB 7, lr 0.0001, MB Loss= 0.3929
EP 50, MB 8, lr 0.0001, MB Loss= 0.3952
EP 50, MB 9, lr 0.0001, MB Loss= 0.4307
Train Loss:  0.4706 Test Loss:  0.6125 Train Accuracy:  0.7400 Test Accuracy:  0.6790


Optimization Finished!
session recovering... loading the best parameters...
session recovered!
Train Accuracy:  0.8833 Test Accuracy:  0.7650
