getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 1.06153416634 seconds
getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 1.24611592293 seconds
input_IMDB_W2V:: words, dim  89567 300
input_IMDB_W2V::cost 13.2127702236 seconds
input_IMDB_W2V::embdding 17106
train: 900  valid: 100  test: 1000
Warning -- This is embedding_initializer function
weigth decay for  model/hidden_to_out_weight:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/candidate/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/candidate/weights:0
Warning -- This is embedding_initializer function
Build graph done!
EP 1, MB 1, lr 5e-05, MB Loss= 0.7995
EP 41, MB 6, lr 5e-05, MB Loss= 0.3796
EP 41, MB 7, lr 5e-05, MB Loss= 0.3726
EP 41, MB 8, lr 5e-05, MB Loss= 0.3724
EP 41, MB 9, lr 5e-05, MB Loss= 0.4495
Train Loss:  0.4181 Test Loss:  0.5165 Train Accuracy:  0.8478 Test Accuracy:  0.7550


EP 42, MB 1, lr 5e-05, MB Loss= 0.4450
EP 42, MB 2, lr 5e-05, MB Loss= 0.4127
EP 42, MB 3, lr 5e-05, MB Loss= 0.4500
EP 42, MB 4, lr 5e-05, MB Loss= 0.3425
EP 42, MB 5, lr 5e-05, MB Loss= 0.2953
EP 42, MB 6, lr 5e-05, MB Loss= 0.3538
EP 42, MB 7, lr 5e-05, MB Loss= 0.3779
EP 42, MB 8, lr 5e-05, MB Loss= 0.4405
EP 42, MB 9, lr 5e-05, MB Loss= 0.5062
Train Loss:  0.4286 Test Loss:  0.5431 Train Accuracy:  0.8267 Test Accuracy:  0.7470


EP 43, MB 1, lr 5e-05, MB Loss= 0.6075
EP 43, MB 2, lr 5e-05, MB Loss= 0.3051
EP 43, MB 3, lr 5e-05, MB Loss= 0.3997
EP 43, MB 4, lr 5e-05, MB Loss= 0.4074
EP 43, MB 5, lr 5e-05, MB Loss= 0.3907
EP 43, MB 6, lr 5e-05, MB Loss= 0.3741
EP 43, MB 7, lr 5e-05, MB Loss= 0.3574
EP 43, MB 8, lr 5e-05, MB Loss= 0.4011
EP 43, MB 9, lr 5e-05, MB Loss= 0.4876
Train Loss:  0.3830 Test Loss:  0.5015 Train Accuracy:  0.8744 Test Accuracy:  0.7780


EP 44, MB 1, lr 5e-05, MB Loss= 0.4810
EP 44, MB 2, lr 5e-05, MB Loss= 0.4722
EP 44, MB 3, lr 5e-05, MB Loss= 0.4412
EP 44, MB 4, lr 5e-05, MB Loss= 0.3539
EP 44, MB 5, lr 5e-05, MB Loss= 0.3781
EP 44, MB 6, lr 5e-05, MB Loss= 0.4999
EP 44, MB 7, lr 5e-05, MB Loss= 0.3858
EP 44, MB 8, lr 5e-05, MB Loss= 0.4182
EP 44, MB 9, lr 5e-05, MB Loss= 0.3162
Train Loss:  0.4007 Test Loss:  0.5114 Train Accuracy:  0.8756 Test Accuracy:  0.7820


EP 45, MB 1, lr 5e-05, MB Loss= 0.3894
EP 45, MB 2, lr 5e-05, MB Loss= 0.3006
EP 45, MB 3, lr 5e-05, MB Loss= 0.4526
EP 45, MB 4, lr 5e-05, MB Loss= 0.5379
EP 45, MB 5, lr 5e-05, MB Loss= 0.3593
EP 45, MB 6, lr 5e-05, MB Loss= 0.3483
EP 45, MB 7, lr 5e-05, MB Loss= 0.3592
EP 45, MB 8, lr 5e-05, MB Loss= 0.2486
EP 45, MB 9, lr 5e-05, MB Loss= 0.4268
Train Loss:  0.3701 Test Loss:  0.4977 Train Accuracy:  0.8689 Test Accuracy:  0.7740


EP 46, MB 1, lr 5e-05, MB Loss= 0.3823
EP 46, MB 2, lr 5e-05, MB Loss= 0.3798
EP 46, MB 3, lr 5e-05, MB Loss= 0.3246
EP 46, MB 4, lr 5e-05, MB Loss= 0.3777
EP 46, MB 5, lr 5e-05, MB Loss= 0.3519
EP 46, MB 6, lr 5e-05, MB Loss= 0.4247
EP 46, MB 7, lr 5e-05, MB Loss= 0.4076
EP 46, MB 8, lr 5e-05, MB Loss= 0.3672
EP 46, MB 9, lr 5e-05, MB Loss= 0.4255
Train Loss:  0.4122 Test Loss:  0.5122 Train Accuracy:  0.8522 Test Accuracy:  0.7640


EP 47, MB 1, lr 5e-05, MB Loss= 0.4248
EP 47, MB 2, lr 5e-05, MB Loss= 0.4041
EP 47, MB 3, lr 5e-05, MB Loss= 0.4805
EP 47, MB 4, lr 5e-05, MB Loss= 0.3827
EP 47, MB 5, lr 5e-05, MB Loss= 0.4843
EP 47, MB 6, lr 5e-05, MB Loss= 0.4241
EP 47, MB 7, lr 5e-05, MB Loss= 0.4405
EP 47, MB 8, lr 5e-05, MB Loss= 0.4594
EP 47, MB 9, lr 5e-05, MB Loss= 0.3252
Train Loss:  0.4375 Test Loss:  0.5384 Train Accuracy:  0.8133 Test Accuracy:  0.7170


EP 48, MB 1, lr 5e-05, MB Loss= 0.4755
EP 48, MB 2, lr 5e-05, MB Loss= 0.4204
EP 48, MB 3, lr 5e-05, MB Loss= 0.4364
EP 48, MB 4, lr 5e-05, MB Loss= 0.3367
EP 48, MB 5, lr 5e-05, MB Loss= 0.3516
EP 48, MB 6, lr 5e-05, MB Loss= 0.4394
EP 48, MB 7, lr 5e-05, MB Loss= 0.3966
EP 48, MB 8, lr 5e-05, MB Loss= 0.3668
EP 48, MB 9, lr 5e-05, MB Loss= 0.4356
Train Loss:  0.4006 Test Loss:  0.5187 Train Accuracy:  0.8589 Test Accuracy:  0.7650


EP 49, MB 1, lr 5e-05, MB Loss= 0.4638
EP 49, MB 2, lr 5e-05, MB Loss= 0.4176
EP 49, MB 3, lr 5e-05, MB Loss= 0.3760
EP 49, MB 4, lr 5e-05, MB Loss= 0.4547
EP 49, MB 5, lr 5e-05, MB Loss= 0.3540
EP 49, MB 6, lr 5e-05, MB Loss= 0.4452
EP 49, MB 7, lr 5e-05, MB Loss= 0.4230
EP 49, MB 8, lr 5e-05, MB Loss= 0.3815
EP 49, MB 9, lr 5e-05, MB Loss= 0.3144
Train Loss:  0.4049 Test Loss:  0.5116 Train Accuracy:  0.8744 Test Accuracy:  0.7690


EP 50, MB 1, lr 5e-05, MB Loss= 0.3618
EP 50, MB 2, lr 5e-05, MB Loss= 0.3877
EP 50, MB 3, lr 5e-05, MB Loss= 0.4019
EP 50, MB 4, lr 5e-05, MB Loss= 0.4620
EP 50, MB 5, lr 5e-05, MB Loss= 0.3018
EP 50, MB 6, lr 5e-05, MB Loss= 0.4194
EP 50, MB 7, lr 5e-05, MB Loss= 0.4625
EP 50, MB 8, lr 5e-05, MB Loss= 0.4201
EP 50, MB 9, lr 5e-05, MB Loss= 0.3996
Train Loss:  0.3829 Test Loss:  0.5056 Train Accuracy:  0.8878 Test Accuracy:  0.7830


Optimization Finished!
session recovering... loading the best parameters...
session recovered!
Train Accuracy:  0.8878 Test Accuracy:  0.7830
