getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 0.435268163681 seconds
getData:: 12500 files keep: 500.0 files
getData:: 12500 files keep: 500.0 files
getData::vocab size 17106
getData::cost 0.291302919388 seconds
input_IMDB_W2V:: words, dim  89567 300
input_IMDB_W2V::cost 14.1914408207 seconds
input_IMDB_W2V::embdding 17106
train: 900  valid: 100  test: 1000
Warning -- This is embedding_initializer function
weigth decay for  model/hidden_to_out_weight:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/fw/gru_cell/candidate/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/gates/weights:0
weigth decay for  model/bidirectional_rnn/bw/gru_cell/candidate/weights:0
Warning -- This is embedding_initializer function
Build graph done!
EP 1, MB 1, lr 5e-05, MB Loss= 0.7995
EP 41, MB 6, lr 5e-05, MB Loss= 0.3340
EP 41, MB 7, lr 5e-05, MB Loss= 0.4799
EP 41, MB 8, lr 5e-05, MB Loss= 0.6907
EP 41, MB 9, lr 5e-05, MB Loss= 0.4619
Train Loss:  0.3862 Test Loss:  0.5068 Train Accuracy:  0.8478 Test Accuracy:  0.7560


EP 42, MB 1, lr 5e-05, MB Loss= 0.4505
EP 42, MB 2, lr 5e-05, MB Loss= 0.4866
EP 42, MB 3, lr 5e-05, MB Loss= 0.6070
EP 42, MB 4, lr 5e-05, MB Loss= 0.5003
EP 42, MB 5, lr 5e-05, MB Loss= 0.3594
EP 42, MB 6, lr 5e-05, MB Loss= 0.5108
EP 42, MB 7, lr 5e-05, MB Loss= 0.4168
EP 42, MB 8, lr 5e-05, MB Loss= 0.4190
EP 42, MB 9, lr 5e-05, MB Loss= 0.5267
Train Loss:  0.4570 Test Loss:  0.5452 Train Accuracy:  0.7856 Test Accuracy:  0.7270


EP 43, MB 1, lr 5e-05, MB Loss= 0.3800
EP 43, MB 2, lr 5e-05, MB Loss= 0.4781
EP 43, MB 3, lr 5e-05, MB Loss= 0.3977
EP 43, MB 4, lr 5e-05, MB Loss= 0.4911
EP 43, MB 5, lr 5e-05, MB Loss= 0.4275
EP 43, MB 6, lr 5e-05, MB Loss= 0.4402
EP 43, MB 7, lr 5e-05, MB Loss= 0.4325
EP 43, MB 8, lr 5e-05, MB Loss= 0.4921
EP 43, MB 9, lr 5e-05, MB Loss= 0.3772
Train Loss:  0.4308 Test Loss:  0.5172 Train Accuracy:  0.8722 Test Accuracy:  0.7740


EP 44, MB 1, lr 5e-05, MB Loss= 0.3356
EP 44, MB 2, lr 5e-05, MB Loss= 0.4711
EP 44, MB 3, lr 5e-05, MB Loss= 0.4175
EP 44, MB 4, lr 5e-05, MB Loss= 0.3871
EP 44, MB 5, lr 5e-05, MB Loss= 0.4635
EP 44, MB 6, lr 5e-05, MB Loss= 0.4392
EP 44, MB 7, lr 5e-05, MB Loss= 0.3750
EP 44, MB 8, lr 5e-05, MB Loss= 0.4395
EP 44, MB 9, lr 5e-05, MB Loss= 0.4099
Train Loss:  0.3753 Test Loss:  0.4981 Train Accuracy:  0.8722 Test Accuracy:  0.7720


EP 45, MB 1, lr 5e-05, MB Loss= 0.3643
EP 45, MB 2, lr 5e-05, MB Loss= 0.3282
EP 45, MB 3, lr 5e-05, MB Loss= 0.4227
EP 45, MB 4, lr 5e-05, MB Loss= 0.4050
EP 45, MB 5, lr 5e-05, MB Loss= 0.4279
EP 45, MB 6, lr 5e-05, MB Loss= 0.5693
EP 45, MB 7, lr 5e-05, MB Loss= 0.3851
EP 45, MB 8, lr 5e-05, MB Loss= 0.4845
EP 45, MB 9, lr 5e-05, MB Loss= 0.3903
Train Loss:  0.3979 Test Loss:  0.5030 Train Accuracy:  0.8667 Test Accuracy:  0.7730


EP 46, MB 1, lr 5e-05, MB Loss= 0.4445
EP 46, MB 2, lr 5e-05, MB Loss= 0.4009
EP 46, MB 3, lr 5e-05, MB Loss= 0.3432
EP 46, MB 4, lr 5e-05, MB Loss= 0.4538
EP 46, MB 5, lr 5e-05, MB Loss= 0.5092
EP 46, MB 6, lr 5e-05, MB Loss= 0.3368
EP 46, MB 7, lr 5e-05, MB Loss= 0.4029
EP 46, MB 8, lr 5e-05, MB Loss= 0.3884
EP 46, MB 9, lr 5e-05, MB Loss= 0.3524
Train Loss:  0.3931 Test Loss:  0.5095 Train Accuracy:  0.8633 Test Accuracy:  0.7590


EP 47, MB 1, lr 5e-05, MB Loss= 0.2990
EP 47, MB 2, lr 5e-05, MB Loss= 0.3949
EP 47, MB 3, lr 5e-05, MB Loss= 0.3307
EP 47, MB 4, lr 5e-05, MB Loss= 0.4675
EP 47, MB 5, lr 5e-05, MB Loss= 0.4150
EP 47, MB 6, lr 5e-05, MB Loss= 0.3580
EP 47, MB 7, lr 5e-05, MB Loss= 0.5009
EP 47, MB 8, lr 5e-05, MB Loss= 0.4077
EP 47, MB 9, lr 5e-05, MB Loss= 0.4073
Train Loss:  0.3858 Test Loss:  0.5060 Train Accuracy:  0.8622 Test Accuracy:  0.7730


EP 48, MB 1, lr 5e-05, MB Loss= 0.4055
EP 48, MB 2, lr 5e-05, MB Loss= 0.3828
EP 48, MB 3, lr 5e-05, MB Loss= 0.3356
EP 48, MB 4, lr 5e-05, MB Loss= 0.3927
EP 48, MB 5, lr 5e-05, MB Loss= 0.2751
EP 48, MB 6, lr 5e-05, MB Loss= 0.3971
EP 48, MB 7, lr 5e-05, MB Loss= 0.4692
EP 48, MB 8, lr 5e-05, MB Loss= 0.3721
EP 48, MB 9, lr 5e-05, MB Loss= 0.3652
Train Loss:  0.4011 Test Loss:  0.5063 Train Accuracy:  0.8644 Test Accuracy:  0.7590


EP 49, MB 1, lr 5e-05, MB Loss= 0.3905
EP 49, MB 2, lr 5e-05, MB Loss= 0.5106
EP 49, MB 3, lr 5e-05, MB Loss= 0.3882
EP 49, MB 4, lr 5e-05, MB Loss= 0.4250
EP 49, MB 5, lr 5e-05, MB Loss= 0.3154
EP 49, MB 6, lr 5e-05, MB Loss= 0.4790
EP 49, MB 7, lr 5e-05, MB Loss= 0.4475
EP 49, MB 8, lr 5e-05, MB Loss= 0.3946
EP 49, MB 9, lr 5e-05, MB Loss= 0.3969
Train Loss:  0.4121 Test Loss:  0.5198 Train Accuracy:  0.8567 Test Accuracy:  0.7540


EP 50, MB 1, lr 5e-05, MB Loss= 0.3957
EP 50, MB 2, lr 5e-05, MB Loss= 0.4711
EP 50, MB 3, lr 5e-05, MB Loss= 0.3742
EP 50, MB 4, lr 5e-05, MB Loss= 0.3732
EP 50, MB 5, lr 5e-05, MB Loss= 0.4064
EP 50, MB 6, lr 5e-05, MB Loss= 0.4164
EP 50, MB 7, lr 5e-05, MB Loss= 0.3640
EP 50, MB 8, lr 5e-05, MB Loss= 0.4090
EP 50, MB 9, lr 5e-05, MB Loss= 0.3701
Train Loss:  0.3791 Test Loss:  0.5012 Train Accuracy:  0.8667 Test Accuracy:  0.7680


Optimization Finished!
session recovering... loading the best parameters...
session recovered!
Train Accuracy:  0.8667 Test Accuracy:  0.7730
